collection_date,isolation_type,min_same,min_diff,country,isolation_source_new,num_close,suscept_sim,resist_sim,bla_ec_complete,acr_f_complete,mdt_m_complete,sul2_complete,bla_oxa_complete,tet_a_complete,aph_3_ib_complete,aph_6_id_complete,tetracycline
2014,clinical,11,43,USA,stool,0,0.8131485594343517,0.581334338498378,1,1,0,0,0,0,0,0,1
2014,clinical,1,33,USA,stool,0,0.9811827956989247,1,1,1,1,0,0,0,0,0,1
2014,clinical,26,42,USA,stool,0,0.9165605919327644,0.8267326732673268,1,1,0,0,0,0,0,0,1
2014,clinical,29,41,USA,stool,0,0.7952380952380953,0.5895338899480639,1,1,1,0,0,0,0,1,0
2014,clinical,18,37,USA,stool,0,0.8648648648648648,0.6744186046511628,1,1,1,1,0,0,0,0,0
2014,clinical,21,41,USA,stool,0,0.7482124245794991,0.3432157675896436,1,1,1,0,0,0,0,0,1
2014,clinical,9,15,USA,stool,0,1,1,0,1,1,0,0,0,0,0,1
2014,clinical,0,27,USA,stool,0,0.8608247422680413,0.805614197123631,1,1,1,0,0,0,0,0,1
2014,clinical,5,37,USA,stool,2,0.8141891891891891,0.8570350165991025,1,1,1,1,0,0,1,1,0
2014,clinical,5,58,USA,stool,0,0.934065934065934,0.4528301886792453,1,1,0,0,0,0,0,0,1
2014,clinical,8,43,USA,stool,0,0.8551724137931034,0.9255813953488372,1,1,1,0,0,0,0,0,0
2014,clinical,1,23,USA,stool,2,1,1,1,1,0,1,0,0,1,1,0
2014,clinical,0,16,USA,stool,0,0.905511811023622,0.4137931034482759,1,1,1,0,0,0,0,0,1
2014,clinical,1,13,USA,stool,0,1,0.7558139534883721,1,1,1,0,0,0,0,0,1
2014,clinical,10,45,USA,stool,0,0.8790322580645161,1,0,1,0,1,0,0,1,1,0
2014,clinical,0,24,USA,stool,1,0.8870967741935484,1,1,1,1,0,0,1,0,0,0
2021,clinical,2,16,Kazakhstan,other/unspecified,0,0.750909090909091,0.5880398671096346,1,1,1,0,0,1,0,0,0
2021,clinical,0,13,Kazakhstan,other/unspecified,0,0.8067632850241546,1,1,1,1,0,0,0,0,0,1
2019,environmental/other,7,8,USA,turkey,2,0.9881422924901184,1,1,1,1,1,0,1,1,1,0
2019,environmental/other,30,17,USA,turkey,0,0.9504504504504504,1,1,1,1,0,0,0,1,1,0
2019,environmental/other,14,9,USA,turkey,1,0.9864864864864864,1,1,1,1,0,0,0,1,1,0
2019,environmental/other,8,24,USA,chicken,0,0.8644933593387202,0.780952380952381,1,1,1,0,0,0,0,0,1
2019,environmental/other,5,2,USA,chicken,0,1,0.9544718694811202,1,1,1,0,0,0,0,0,1
2019,environmental/other,0,26,USA,chicken,0,0.9044991511035654,0.8798449612403101,1,1,1,1,0,1,0,0,0
2019,environmental/other,18,32,USA,turkey,0,0.9236499068901304,0.7829457364341085,1,1,1,0,0,0,0,0,0
2019,environmental/other,1,10,USA,pork,0,1,1,1,1,1,0,0,1,0,0,0
2019,environmental/other,20,40,USA,turkey,0,0.5627021403357881,0.5458333333333334,1,1,1,0,0,0,0,0,1
2019,environmental/other,13,36,USA,chicken,0,1,1,1,1,1,0,0,0,1,1,1
2019,environmental/other,26,27,USA,turkey,0,0.8509615384615384,0.8389562701680204,1,1,1,1,0,0,1,1,0
2019,environmental/other,19,34,USA,beef,0,1,1,1,1,1,0,0,0,0,0,1
2019,environmental/other,28,37,USA,chicken,0,0.9050632911392404,0.8435455727192583,1,1,1,0,0,0,0,0,1
2019,environmental/other,32,22,USA,turkey,0,0.9288969095420708,0.5911798706506004,1,1,1,0,0,0,0,0,1
2019,environmental/other,3,10,USA,chicken,0,1,1,1,0,1,1,0,0,0,0,1
2019,environmental/other,6,8,USA,chicken,0,1,1,1,1,1,0,0,0,0,0,1
2019,environmental/other,20,33,USA,turkey,0,1,1,0,1,1,0,0,1,0,0,0
2019,environmental/other,17,17,USA,beef,0,0.8198198198198199,0.8621621621621621,1,1,1,0,0,0,0,0,1
2019,environmental/other,34,28,USA,chicken,0,0.8824009439684167,0.93446088794926,1,1,1,1,0,0,0,0,1
2019,environmental/other,2,27,USA,pork,0,1,1,1,1,1,1,0,0,0,0,0
2019,environmental/other,19,36,USA,turkey,0,0.9278846153846154,0.6219512195121951,1,0,1,0,0,0,0,0,0
2019,environmental/other,3,5,USA,chicken,2,1,1,1,1,1,0,0,0,1,1,0
2019,environmental/other,23,34,USA,chicken,0,1,1,1,1,1,0,0,0,0,0,1
2019,environmental/other,17,13,USA,chicken,0,1,1,1,1,1,0,0,0,1,1,0
2019,environmental/other,28,22,USA,turkey,0,0.6612903225806451,0.4716981132075472,1,1,1,0,0,0,0,0,1
2019,environmental/other,16,15,USA,beef,0,0.8347107438016529,0.6301310824799854,1,1,1,0,0,0,0,0,0
2019,environmental/other,9,27,USA,pork,0,0.8870967741935484,0.805614197123631,1,1,0,0,0,1,0,0,0
2019,environmental/other,10,37,USA,turkey,0,0.8704224431685572,0.7596899224806202,1,1,1,0,0,1,1,1,0
2019,environmental/other,3,35,USA,beef,0,0.7231182795698925,0.7740112994350282,1,1,0,0,0,0,0,0,1
2019,environmental/other,0,11,USA,beef,0,1,0.7926356589147286,1,1,1,0,0,0,0,0,1
2019,environmental/other,8,15,USA,beef,0,0.9278846153846154,0.7433628318584071,1,1,1,0,0,0,0,0,1
2019,environmental/other,2,3,USA,beef,0,1,1,1,1,1,0,0,0,0,0,1
2019,environmental/other,28,33,USA,beef,0,0.7612612612612613,0.3116883116883117,1,1,1,0,0,0,0,0,1
2019,environmental/other,1,27,USA,beef,0,1,0.8828250401284109,1,1,1,1,0,0,0,0,0
2019,environmental/other,31,11,USA,chicken,0,1,1,1,1,1,0,0,0,0,0,1
2019,environmental/other,41,24,USA,beef,0,0.35443037974683544,0.5553751024591393,1,1,1,1,0,1,1,1,0
2019,environmental/other,32,24,USA,beef,0,1,1,1,1,1,0,0,0,0,0,0
2019,environmental/other,24,11,USA,turkey,0,1,0.9447933970099668,1,1,1,0,0,0,1,1,1
2017,clinical,34,37,USA,urine,0,0.6798142717497556,0.627906976744186,1,1,0,0,0,0,0,0,0
2017,clinical,21,42,USA,urine,0,0.6826347305389222,0.5464285714285714,1,1,1,0,0,0,0,0,1
2017,clinical,3,11,USA,urine,2,0.47588893404379146,0.31081081081081086,1,1,1,0,0,0,0,0,1
2017,clinical,6,15,USA,stool,0,0.8636363636363636,0.5494186046511629,1,1,1,0,0,0,0,0,1
2017,clinical,1,20,USA,urine,0,0.8152631028350246,0.5903080148363167,1,1,1,0,0,0,0,0,1
2017,clinical,11,25,USA,urine,0,0.8634072580645161,0.6875,1,1,0,0,0,0,0,0,1
2017,clinical,24,42,USA,urine,0,0.7423444976076555,0.4177215189873418,1,1,0,0,0,0,0,0,1
2017,clinical,5,37,USA,urine,2,0.8005913750251162,0.49056603773584906,0,1,0,1,0,0,0,0,0
2017,clinical,10,15,USA,urine,2,0.8173732062657465,0.4114285714285714,1,1,1,0,0,0,0,0,0
2015,clinical,4,32,USA,stool,0,1,1,1,1,1,0,0,0,0,0,1
2018,clinical,14,47,USA,stool,0,0.7862299409343734,0.2790697674418605,1,1,0,0,0,0,0,0,1
2015,clinical,1,29,USA,stool,0,0.8290322580645162,0.6996743833355635,1,1,1,0,0,0,0,0,1
2019,environmental/other,16,13,USA,beef,0,0.8761904761904762,0.5,1,1,1,0,0,0,0,0,1
2019,environmental/other,30,27,USA,pork,0,1,1,1,1,1,0,0,0,0,0,0
2019,environmental/other,9,35,USA,pork,0,0.6069383151466599,0.7740112994350282,1,1,1,0,0,0,1,1,0
2019,environmental/other,28,27,USA,turkey,0,0.8537427927523947,0.4260924631814768,1,1,0,0,0,0,0,0,1
2019,environmental/other,26,47,USA,turkey,0,0.9899193548387096,0.520749063670412,1,0,1,0,0,1,0,0,0
2019,environmental/other,9,27,USA,chicken,0,0.9827188940092166,0.9447933970099668,1,1,1,1,0,1,0,0,0
2019,environmental/other,1,11,USA,beef,0,0.8593189964157706,0.75,1,1,1,0,0,0,0,0,1
2019,environmental/other,5,0,USA,pork,0,0.9367088607594936,0.8333333333333334,1,1,1,0,0,0,0,0,1
2019,environmental/other,29,42,USA,turkey,0,0.8387096774193549,0.79375,1,1,1,1,0,0,1,1,0
2013,clinical,2,20,USA,other/unspecified,2,0.9076576576576576,1,1,1,1,0,0,0,0,0,1
2013,clinical,14,33,USA,other/unspecified,0,0.7607038593163581,0.76,1,1,1,0,0,1,0,0,0
2012,environmental/other,2,11,USA,other/unspecified,2,0.8204419889502762,1,1,1,1,1,0,1,1,1,0
2012,environmental/other,14,44,USA,other/unspecified,0,1,1,1,1,1,0,0,1,0,0,0
2012,environmental/other,3,7,USA,other/unspecified,2,1,1,1,1,1,1,0,1,1,1,0
2012,environmental/other,26,28,USA,other/unspecified,0,1,0.8333333333333334,1,1,1,0,0,0,0,0,1
2012,environmental/other,10,32,USA,other/unspecified,0,0.949820788530466,1,0,1,1,1,0,1,0,0,0
2012,environmental/other,12,32,USA,other/unspecified,0,0.6826347305389222,0.8621621621621621,1,1,1,1,0,0,0,0,1
2012,environmental/other,37,47,USA,other/unspecified,0,0.8887755102040816,0.9033183196985016,1,1,1,1,0,1,1,1,0
2011,environmental/other,21,15,USA,other/unspecified,0,1,1,1,1,1,1,0,0,1,1,0
2011,environmental/other,24,26,USA,other/unspecified,0,0.9179057337220604,1,1,1,1,1,0,1,1,1,0
2011,environmental/other,22,25,USA,other/unspecified,0,0.9454545454545454,1,1,1,1,1,0,0,1,1,0
2012,environmental/other,14,21,USA,other/unspecified,0,0.8959677419354839,0.6744186046511628,1,1,1,1,0,1,1,1,0
2012,environmental/other,21,38,USA,other/unspecified,0,0.6690909090909091,0.4789999006284557,1,1,1,1,0,1,0,0,0
2011,environmental/other,28,29,USA,other/unspecified,0,0.950858818600754,0.8352941176470589,1,1,1,1,0,1,1,1,0
2011,environmental/other,30,34,USA,other/unspecified,2,0.9811827956989247,1,1,1,1,1,0,1,1,1,0
2012,environmental/other,21,16,USA,other/unspecified,0,1,1,1,1,1,0,0,1,0,0,0
2012,environmental/other,24,34,USA,other/unspecified,0,0.8266129032258065,0.3116883116883117,1,0,1,0,0,0,0,0,1
2011,environmental/other,19,13,USA,other/unspecified,0,1,1,1,1,1,0,0,0,0,0,0
2011,environmental/other,23,29,USA,other/unspecified,0,1,1,1,1,1,1,0,1,1,1,0
2011,environmental/other,28,27,USA,other/unspecified,2,0.9430379746835444,0.9885714285714284,1,1,1,1,0,0,1,1,0
2012,environmental/other,10,10,USA,other/unspecified,0,1,0.9226190476190476,1,1,1,0,0,0,0,0,1
2012,environmental/other,24,44,USA,other/unspecified,0,0.8590909090909091,0.4137931034482759,1,1,1,1,0,1,1,1,0
2011,environmental/other,36,33,USA,other/unspecified,2,0.5883706205204818,0.3703703703703703,1,1,1,1,0,1,1,1,0
2011,environmental/other,22,34,USA,other/unspecified,2,0.8983653370200146,0.9885714285714284,1,1,1,1,0,1,1,1,0
2011,environmental/other,39,18,USA,other/unspecified,0,0.7612612612612613,0.5911798706506004,1,1,1,1,0,1,1,1,0
2011,environmental/other,14,40,USA,other/unspecified,0,1,0.899795501022495,1,1,1,1,0,1,1,1,0
2012,environmental/other,25,36,USA,other/unspecified,0,0.9179057337220604,1,0,1,1,1,0,1,0,0,0
2012,environmental/other,19,23,USA,other/unspecified,0,1,1,1,1,1,1,0,0,1,1,0
2012,environmental/other,22,28,USA,other/unspecified,0,1,0.916030534351145,1,1,1,1,0,0,0,0,0
2012,environmental/other,16,32,USA,other/unspecified,0,0.9684684684684683,1,1,0,1,1,0,1,1,1,0
2012,environmental/other,23,17,USA,other/unspecified,0,1,1,1,1,1,1,0,1,1,1,0
2011,environmental/other,12,29,USA,other/unspecified,2,0.935483870967742,1,1,1,1,0,0,0,1,1,0
2012,environmental/other,8,21,USA,other/unspecified,0,0.9623655913978496,1,1,1,1,1,0,1,1,1,0
2012,environmental/other,23,33,USA,other/unspecified,0,0.7771739130434783,0.6097560975609756,1,1,1,0,0,0,0,0,1
2011,environmental/other,8,32,USA,other/unspecified,0,0.9153225806451613,0.8368794326241135,1,1,1,1,0,1,1,1,0
2012,environmental/other,24,34,USA,other/unspecified,2,0.8481012658227848,0.8828250401284109,1,1,1,1,0,1,1,1,0
2011,environmental/other,2,29,USA,other/unspecified,0,0.9441607728135244,1,1,1,1,0,0,1,0,0,0
2011,environmental/other,29,18,USA,other/unspecified,0,0.9236499068901304,0.6395348837209303,1,1,1,0,0,0,0,0,0
2011,environmental/other,14,17,USA,other/unspecified,1,0.9848790322580644,1,1,1,1,1,0,1,1,1,0
2011,environmental/other,31,27,USA,other/unspecified,2,0.7421114369501467,1,1,1,1,1,0,1,1,1,0
2011,environmental/other,38,33,USA,other/unspecified,2,0.9084568439407148,1,0,1,1,1,0,1,1,1,0
2011,environmental/other,24,23,USA,other/unspecified,0,1,0.9447933970099668,1,1,1,0,0,0,1,1,0
2012,environmental/other,10,28,USA,other/unspecified,1,1,1,1,1,1,1,0,1,1,1,0
2012,environmental/other,26,37,USA,other/unspecified,0,0.9136992040217846,1,1,1,1,1,0,1,1,1,0
2012,environmental/other,0,40,USA,other/unspecified,0,0.98860103626943,1,1,1,1,1,0,1,1,1,0
2012,environmental/other,30,20,USA,other/unspecified,0,1,1,1,1,1,1,0,1,1,1,0
2012,environmental/other,0,6,USA,other/unspecified,2,0.9165605919327644,1,1,1,1,1,0,1,1,1,0
2012,environmental/other,21,16,USA,other/unspecified,0,1,1,1,1,1,1,0,1,1,1,0
2011,environmental/other,13,41,USA,other/unspecified,0,0.8590909090909091,1,1,1,1,1,0,1,1,1,0
2015,clinical,32,33,USA,urine,0,0.6826347305389222,0.3116883116883117,1,1,0,0,0,0,1,1,0
2015,clinical,26,36,USA,urine,2,0.8238636363636365,1,1,1,1,1,0,0,1,1,1
2015,clinical,1,30,USA,urine,0,0.8639622026718801,0.714230739629031,1,1,0,0,0,0,0,0,1
