collection_date,isolation_type,min_same,min_diff,country,isolation_source_new,num_close,suscept_sim,resist_sim,bla_oxa_193_complete,x50s_l22_a103v_point,gyr_a_t86i_point,bla_oxa_complete,tet_o_complete,aph_3_ii_ia_complete,gentamicin
2017,environmental/other,11,10,USA,chicken,0,0.9035190615835778,1,0,1,0,0,1,0,1
2016,environmental/other,22,16,USA,chicken,0,1,1,0,1,0,0,0,0,1
2017,environmental/other,22,16,USA,chicken,0,1,1,0,1,0,0,0,0,1
2016,environmental/other,1,16,USA,beef,1,0.9623655913978496,0.9481327800829876,0,0,0,0,0,0,1
2016,environmental/other,1,17,USA,beef,1,0.9623655913978496,1,0,0,0,0,0,0,1
2017,environmental/other,25,26,USA,chicken,0,0.8870967741935484,0.9033183196985016,0,0,0,0,1,0,1
2017,environmental/other,13,12,USA,chicken,0,0.9623655913978496,1,0,0,0,0,0,0,1
2016,environmental/other,1,9,USA,chicken,2,1,1,0,0,0,0,0,0,1
2017,environmental/other,21,0,USA,chicken,1,0.9937275985663082,1,1,0,0,0,0,0,1
2016,environmental/other,1,3,USA,chicken,2,0.992345544013122,0.9186046511627908,0,0,0,0,0,0,1
2016,environmental/other,1,6,USA,chicken,2,0.992345544013122,1,0,0,0,0,0,0,1
2016,environmental/other,7,13,USA,chicken,1,0.992345544013122,1,0,0,0,0,0,0,1
2016,environmental/other,0,9,USA,chicken,1,0.992345544013122,1,0,0,0,0,0,0,1
2016,environmental/other,0,9,USA,chicken,1,0.992345544013122,1,0,0,0,0,0,0,1
2016,environmental/other,0,9,USA,chicken,1,0.992345544013122,1,0,0,0,0,0,0,1
2016,environmental/other,0,9,USA,chicken,1,0.992345544013122,1,0,0,0,0,0,0,1
2016,environmental/other,0,9,USA,chicken,1,0.7653324207452146,0.42388663967611334,0,0,0,0,1,0,1
2016,environmental/other,0,4,USA,chicken,2,0.992345544013122,0.9186046511627908,0,0,0,0,0,0,1
2016,environmental/other,1,11,USA,chicken,1,0.992345544013122,1,0,0,0,0,0,0,1
